ID,Họ tên,Giới tính,Ngày sinh,CCCD,SDT
CQ01,ĐỖ THANH QUANG,nam,18/11/2009,002298567138,0368228631
CQ02,PHAN QUỐC DUYÊN,nữ,12/02/2020,034909852244,0943029765
CQ03,NGỌC NGỌC KHÁNH,nam,12/09/2014,080840041314,0358485716
CQ04,MAI HỮU KHANG,nam,16/09/1984,054476652574,0355476425
CQ05,Vũ Ngọc Lưu,nam,19/6/1989,068217180483,0893580754
CQ06,VŨ MINH HUY,nam,05/06/1993,006660854500,0888339356
CQ07,HỒ VĂN TÂM,nam,26/11/2010,049469923303,0337418284
CQ08,ĐỖ GIA HÒA,nam,04/12/2022,034608234525,0941146804
CQ09,VÕ THỊ VINH,nữ,18/01/1986,060176205000,0339532967
CQ10,TẠ NGỌC NHÂN,nam,03/12/1991,033224164759,0887138159
CQ11,Hà Gia Dũng,nữ,19/12/2020,001121241806,0331677813
CQ12,TẠ ĐÌNH THÚY,nam,07/06/2014,058829247238,0824202436
CQ13,NGỌC VĂN LINH,nam,21/07/2012,002482689232,0529394596
CQ14,PHAN NGỌC HÒA,nữ,19/12/2013,093350786033,0376106281
CQ15,PHẠM NGỌC THÁI,nữ,04/04/2005,056306307408,0871359553
CQ16,ĐẶNG MINH CHI,nam,20/06/2014,019479406951,0327808603
CQ17,HOÀNG THANH HUY,nam,14/02/2021,010176533182,0701976849
CQ18,DƯƠNG THANH HUY,nam,11/08/2016,094910867933,0913632563
CQ19,TẠ HỮU YẾN,nữ,02/10/2018,096560416203,0703972828
CQ20,TRỊNH HỮU LƯU,nam,08/06/2016,046326607284,0365624571
CQ21,VÕ NGỌC KHÁNH,nữ,29/12/2016,001926186972,0892030193
CQ22,PHẠM MINH LINH,nữ,22/01/2009,012801140705,0798732792
CQ23,BÙI MINH VŨ,nam,24/10/1991,049899714796,0561324894
CQ24,MAI MINH HÒA,nữ,08/06/2009,083337203602,0366466278
CQ25,PHAN MINH TIẾN,nữ,02/07/1992,077832454430,0528432956
CQ26,ĐẶNG KHÁNH THÀNH,nam,17/11/2016,025744635236,0358508677
CQ27,TRÍ THANH TRANG,nam,18/01/2003,011653383817,0343876251
CQ28,ĐỖ KHÁNH NAM,nam,05/10/2003,034633457637,0592019797
CQ29,VƯƠNG THỊ HỒNG,nam,13/11/1998,017555544665,0969541854
CQ30,VƯƠNG GIA CHI,nữ,17/01/1991,089192462058,0798630936
CQ31,TẠ KHÁNH KHANG,nữ,22/05/2016,080962357480,0966926654
CQ32,HÀ NGỌC QUỐC,nữ,25/04/2020,089387266977,0914740130
CQ33,VƯƠNG GIA MINH,nam,18/09/2017,048460694189,0704436146
CQ34,ĐẶNG THANH DUYÊN,nữ,22/12/2015,093184405153,0947018378
CQ35,VÕ QUỐC KHOA,nam,08/09/2010,089451563813,0932616053
CQ36,ĐỖ GIA XUÂN,nam,08/01/2011,044523695510,0329744933
CQ37,LÂM KHÁNH LINH,nữ,31/05/2023,004951446141,0584180728
CQ38,LÊ MINH SƠN,nữ,12/12/2015,031781693892,0582189498
CQ39,LƯƠNG MINH CẨM,nam,12/11/1998,012455955572,0568758711
CQ40,HÀ NGỌC QUỐC,nam,22/06/2015,002346073388,0856433535
CQ41,LÂM QUỐC TUYẾT,nam,29/03/2006,038686744462,0942501023
CQ42,TRỊNH QUỐC HÒA,nam,05/07/1993,045639375273,0391935674
CQ43,ĐỖ ĐÌNH HÒA,nữ,18/02/2020,038418064846,0844386956
CQ44,LÊ MINH LAN,nam,10/11/2013,030824583302,0848239539
CQ45,ĐẶNG MINH XUÂN,nam,15/12/2016,089262697462,0364774023
CQ46,ĐỖ VĂN LINH,nam,29/05/2011,089234137690,0899266716
CQ47,VŨ THANH TRÍ,nam,06/10/2018,060590305810,0359908115
CQ48,HỒ THỊ THẢO,nam,18/01/2019,011864498531,0784192051
CQ49,VŨ QUỐC LAN,nam,20/01/2023,017443877162,0351242387
CQ50,NGUYỄN MINH NAM,nữ,28/06/2009,004850821620,0989223736
CQ51,HÀ GIA LƯU,nữ,18/07/2004,058795022712,0774268225
CQ52,LÊ MINH THÀNH,nam,01/04/2008,058718391066,0524806190
CQ53,BÙI THANH XUÂN,nam,04/06/2005,092272131238,0836555964
CQ54,HOÀNG VĂN MINH,nữ,05/01/1989,040951913102,0914250841
CQ55,HÀ MINH QUỐC,nam,12/06/1992,001744626337,0767892723
CQ56,PHẠM GIA VINH,nam,24/08/2017,074299400360,0359817227
CQ57,Ngô Gia Trí,nam,21/11/1977,074152189321,0387680052
CQ58,ĐỖ HỮU THÀNH,nữ,25/10/2017,049955616883,0589846458
CQ59,ĐẶNG ĐÌNH XUÂN,nam,23/01/2020,024651559698,0585564202
CQ60,DƯƠNG NGỌC SƠN,nữ,08/06/2020,058523076753,0872439081
CQ61,HỒ KHÁNH LINH,nam,07/03/2010,051369195182,0362536227
CQ62,BẠCH NGỌC TÚ,nữ,11/05/1988,068475940595,0889381869
CQ63,TRỊNH MINH NHÂN,nữ,06/12/2008,035149570898,0384867262
CQ64,TẠ QUỐC MỸ,nam,14/05/2019,034921923410,0526561017
CQ65,ĐẶNG QUỐC VY,nam,21/02/2008,017598798757,0915253697
CQ66,NGUYỄN THANH NGỌC,nam,24/12/2005,004301065423,0388203276
CQ67,DƯƠNG THỊ BÌNH,nam,12/11/2022,035657676263,0988871969
CQ68,HỒ THỊ NGỌC,nữ,16/07/2003,046415938918,0373205605
CQ69,DƯƠNG MINH THẢO,nữ,16/08/2004,044308650585,0783793053
CQ70,PHẠM MINH CẨM,nữ,06/01/2014,079998961278,0593273137
CQ71,Ngọc Đình Hải,nam,02/05/2021,079679978693,0886005585
CQ72,Lê Quốc Trí,nam,15/08/2013,074184313515,0849674062
CQ73,TRẦN ĐÌNH TRUNG,nữ,13/02/1993,067159267145,0846053787
CQ74,ĐẶNG KHÁNH HÒA,nam,09/11/2012,095508940669,0599282572
CQ75,PHAN VĂN THÀNH,nữ,12/01/1994,019292017694,0338050013
CQ76,PHẠM GIA DUYÊN,nữ,15/10/2016,046953553765,0764450782
CQ77,Ngô Đình Tùng,nữ,21/02/2002,027610117468,0902136460
CQ78,HƯNG GIA DUY,nam,13/03/2014,089460452524,0847631781
CQ79,LÝ HỮU TÚ,nam,05/11/2000,082756274445,0817659942
CQ80,TRỊNH QUỐC CHI,nam,06/08/2010,062658520993,0323386066
CQ81,NGÔ ĐÌNH XUÂN,nam,29/11/2011,067334711012,0918499556
CQ82,Trịnh Quốc Nhân,nữ,05/12/2005,046639359251,0344607038
CQ83,TRẦN NGỌC LƯU,nữ,16/02/2010,025916472992,0949681054
CQ84,VƯƠNG ĐÌNH ANH,nam,12/8/2012,086891279818,0935948127
CQ85,Lý Thị Lê,nam,06/09/1991,070972306144,0393626001
CQ86,PHẠM ĐÌNH HẢI,nữ,17/07/2012,035936655498,0934508376
CQ87,LÂM QUỐC LÊ,nam,29/01/1991,072430575838,0771029172
CQ88,NGỌC NGỌC NGỌC,Nam,15/04/2022,004646628025,0775683802
CQ89,MAI NGỌC HƯƠNG,nam,11/04/2001,035678353654,0783749448
CQ90,TRỊNH THANH DUY,nữ,18/06/1998,056724259996,0761927588
CQ91,HÀ HỮU THÁI,nam,02/06/2000,045550371933,0395348107
CQ92,NGỌC THANH TUYẾT,nam,20/03/2020,095215440636,0356085539
CQ93,PHẠM NGỌC BÌNH,nữ,02/05/1984,056619083233,0931307151
CQ94,VÕ HỮU HƯƠNG,nam,26/07/2023,087294422334,0775749111
CQ95,PHAN KHÁNH TUYẾT,nam,27/12/1995,037831498078,0788706999
CQ96,HÀ MINH LƯU,nam,09/11/2023,036650322438,0351247244
CQ97,HOÀNG THANH TRANG,nam,04/05/1984,036196205683,0826194232
CQ98,LÝ GIA XUÂN,nữ,03/08/1992,010575071566,0366122327
CQ99,HỒ QUỐC THÀNH,nam,25/06/2008,093424990621,0915783653
CQ100,BẠCH THỊ CẨM,nam,17/08/2016,095358847907,0784754477
CQ101,LÊ GIA TRUNG,nữ,02/11/2011,086957990587,0339201502
CQ102,TRÍ NGỌC TIẾN,nam,22/07/1996,027795825036,0891125555
CQ103,TRẦN NGỌC TRUNG,nữ,23/10/2003,025696360690,0322632741
CQ104,HỒ THANH DUYÊN,nam,03/04/2003,022762760375,0354944247
CQ105,VƯƠNG VĂN MINH,nữ,13/02/2018,074908845464,0934039988
CQ106,HƯNG THANH QUỐC,nữ,21/10/2007,077491459973,0872045459
CQ107,Lý Văn Tùng,nam,2/7/2020,080279850906,0589194416
CQ108,Ngô Thị Toàn,nữ,29/11/1974,038621932873,0813987974
CQ109,VŨ HỮU KHÁNH,nam,07/05/1998,026110765542,0995864569
CQ110,VƯƠNG VĂN TIẾN,nam,28/10/2008,060128070654,0368756701
CQ111,TRƯƠNG THANH DUY,nữ,12/1/1999,036200821207,0967832677
CQ112,NGÔ ĐÌNH TRÍ,nam,18/07/2007,004758872115,0895591549
CQ113,TRÍ THỊ KHÁNH,nam,12/04/2006,035226258775,0873226683
CQ114,Tạ Văn Hải,nữ,02/11/2021,092645754009,0351888222
CQ115,TRƯƠNG THANH VỸ,nữ,17/12/2021,038614034892,0354645099
CQ116,NGỌC ĐÌNH CHI,nữ,13/11/1986,012781550309,0331632490
CQ117,HỒ THỊ NGỌC,nam,31/01/2017,072378600431,0591476472
CQ118,NGUYỄN QUỐC QUANG,nữ,7/10/2007,066927137085,0345638194
CQ119,HÀ THANH VINH,nữ,01/11/2016,070925274443,0356231235
CQ120,PHAN GIA VY,nam,14/04/2009,034299280089,0889153215
CQ121,NGÔ ĐÌNH TOÀN,nữ,29/04/1978,087393164034,0889463413
CQ122,PHẠM MINH TIẾN,nữ,21/12/2012,066242331605,0363409157
CQ123,TRƯƠNG NGỌC DUY,nữ,6/4/2015,093519397027,0902146970
CQ124,TẠ KHÁNH VỸ,nữ,27/09/2016,037124554973,0891687125
CQ125,PHAN HỮU MỸ,nam,9/4/2022,026686565786,0598231608
CQ126,Đặng Khánh Quang,nam,05/02/2006,046827940612,0353231164
CQ127,VÕ GIA HÀ,nam,03/11/2013,035265469968,0585193005
CQ128,ĐỖ ĐÌNH TIẾN,nữ,14/10/2023,060924900797,0943458286
CQ129,NGÔ NGỌC VY,nữ,19/05/2015,017218056216,0945629253
CQ130,TRỊNH GIA HÒA,nam,20/05/1999,008944585042,0343213624
CQ131,LÝ GIA THÀNH,nam,04/09/1982,034970346044,0599590148
CQ132,VŨ KHÁNH NAM,nam,06/06/2019,015215603407,0779781619
CQ133,VŨ HỮU TÂM,nữ,05/06/2014,084406457519,0569658474
